session_id,account_login,basket_page,checkout_page,order_placed
ad22f37f-3090,0,0,0,0
dec34cea-8172,0,0,0,0
532c96bd-5036,1,0,0,0
5c503911-6193,0,0,0,0
a36043e6-3259,1,0,0,0
d0944542-1230,0,1,0,0
fbe343ca-4075,0,0,0,0
efaee988-3573,0,1,1,0
cb214b4f-2320,0,1,0,0
09ea969c-4615,0,1,0,0
fca2239f-5308,0,1,0,0
3c80228e-1647,1,0,0,0
005245cb-1981,1,1,0,0
154dc281-2430,1,0,0,0
744b9a1f-5677,0,1,1,0
bead4b75-7164,0,0,0,0
f7bb6ae3-5638,0,1,0,0
442b7a8d-5625,0,1,0,0
c474803d-9881,1,1,0,0
3061dff6-4040,0,0,0,0
b6298387-72,0,0,0,0
402d7bb4-6631,0,0,0,0
61b60d9a-9959,1,0,0,0
217fac05-5234,1,0,0,0
3e2471a1-3393,0,0,0,0
661db4ac-9825,0,0,0,0
e5035d66-2452,0,0,0,0
65b27871-6553,0,1,1,1
5ddb0b5d-3937,0,0,0,0
4ac1e569-4580,0,0,0,0
b9eed126-2658,1,0,0,0
cf86d8ba-2841,1,0,0,0
ff14af7b-5432,1,0,0,0
9b63e86d-2675,0,0,0,0
7e133860-1404,1,0,0,0
0094785b-6119,1,0,0,0
68fe59b4-1851,0,0,0,0
3537813a-922,1,0,0,0
60cf4a7f-1066,1,0,0,0
47efb53a-8254,1,1,1,1
498ae57c-1423,0,0,0,0
b40e8df4-1557,0,0,0,0
d556e35e-3696,0,0,0,0
aab229c6-5754,0,0,0,0
cef62ae9-3449,1,0,0,0
2378c07c-6199,1,0,0,0
48e06282-5038,1,0,0,0
a3776017-9626,1,0,0,0
a629994b-469,0,0,0,0
e9106992-4820,0,1,1,0
8ef8152d-3520,1,0,0,0
65271d88-8197,1,0,0,0
6727fc48-824,1,0,0,0
70df9d0e-8281,0,0,0,0
bac16705-4177,0,0,0,0
4eba5c6e-3414,0,0,0,0
fa7b9dd5-1629,0,0,0,0
26acef50-4304,0,1,0,0
b59177f8-4592,1,0,0,0
17168331-2869,0,0,0,0
c285e6bd-8760,0,0,0,0
427e214f-498,1,0,0,0
a796e819-4460,1,0,0,0
91d5cdde-4196,0,0,0,0
675ad8d3-2478,1,0,0,0
447fefda-3199,0,0,0,0
22fb6784-2302,1,0,0,0
bf363970-6345,0,0,0,0
97318337-5506,0,1,1,1
33a41c54-9472,0,0,0,0
d53a6bff-1010,0,0,0,0
4600a228-1818,0,1,1,1
ada25058-4854,1,0,0,0
feccf8a4-4605,0,1,0,0
67bdf976-8388,1,1,1,1
7d4fb90c-6968,0,0,0,0
eb77dfdc-1682,0,0,0,0
a70e0f87-6234,1,1,1,1
aa7fd9ee-3825,1,1,1,1
748d9b3e-3601,0,0,0,0
ae880c83-1745,0,0,0,0
ffa5e2fd-5334,0,0,0,0
931dbd14-4649,0,0,0,0
8b69a7de-1995,0,0,0,0
841edead-4319,0,0,0,0
bf0ff2fa-7996,1,0,0,0
a673639e-216,0,1,0,0
e9e8d02e-5336,1,0,0,0
70958869-2990,0,0,0,0
591c8dd5-6426,1,0,0,0
d5c85167-5208,0,0,0,0
d0a03d9c-9652,1,0,0,0
b0c34203-3371,1,0,0,0
34682364-77,1,0,0,0
f6dc8c4b-4494,1,0,0,0
d1e7fc92-3596,0,0,0,0
1450e619-8599,1,0,0,0
a7d67c57-2859,0,0,0,0
fc38984a-8239,1,0,0,0
7fd75fec-3987,0,0,0,0
f72bd9da-9641,0,1,1,1
cc16eac7-8269,1,0,0,0
fbe569eb-6366,0,0,0,0
b4c94e08-4104,1,0,0,0
71dfeb07-4050,1,0,0,0
d4959d52-3361,0,0,0,0
a3b8a491-3145,0,0,0,0
77925318-2872,1,0,0,0
f375eab7-2982,1,0,0,0
