session_id,device_type
ad22f37f-3090,Desktop
5c503911-6193,App iOS
a36043e6-3259,App Android
fbe343ca-4075,App Android
efaee988-3573,Mobile
cb214b4f-2320,Mobile
09ea969c-4615,Mobile
fca2239f-5308,Desktop
3c80228e-1647,Mobile
005245cb-1981,App Android
154dc281-2430,App iOS
744b9a1f-5677,Mobile
bead4b75-7164,App Android
c474803d-9881,App Android
3061dff6-4040,Mobile
b6298387-72,App Android
402d7bb4-6631,App iOS
61b60d9a-9959,Mobile
3e2471a1-3393,App iOS
661db4ac-9825,App iOS
65b27871-6553,App Android
5ddb0b5d-3937,App iOS
4ac1e569-4580,Mobile
b9eed126-2658,Mobile
cf86d8ba-2841,App Android
ff14af7b-5432,Mobile
9b63e86d-2675,App Android
68fe59b4-1851,Mobile
3537813a-922,App Android
60cf4a7f-1066,Desktop
47efb53a-8254,Mobile
b40e8df4-1557,App iOS
d556e35e-3696,App iOS
aab229c6-5754,App iOS
2378c07c-6199,App iOS
48e06282-5038,App iOS
a3776017-9626,App iOS
a629994b-469,Mobile
e9106992-4820,App Android
8ef8152d-3520,App iOS
65271d88-8197,Mobile
6727fc48-824,App Android
70df9d0e-8281,App Android
bac16705-4177,App Android
4eba5c6e-3414,Mobile
fa7b9dd5-1629,Mobile
b59177f8-4592,Mobile
17168331-2869,App iOS
c285e6bd-8760,App Android
427e214f-498,Mobile
a796e819-4460,Mobile
91d5cdde-4196,Desktop
675ad8d3-2478,Mobile
447fefda-3199,Desktop
22fb6784-2302,Mobile
bf363970-6345,App Android
97318337-5506,App Android
33a41c54-9472,Mobile
d53a6bff-1010,App Android
4600a228-1818,App iOS
ada25058-4854,App iOS
feccf8a4-4605,Mobile
67bdf976-8388,Mobile
7d4fb90c-6968,App iOS
eb77dfdc-1682,App Android
a70e0f87-6234,Desktop
748d9b3e-3601,App Android
ffa5e2fd-5334,App iOS
931dbd14-4649,Mobile
8b69a7de-1995,Mobile
841edead-4319,Desktop
bf0ff2fa-7996,Desktop
a673639e-216,App Android
e9e8d02e-5336,App Android
591c8dd5-6426,Desktop
d5c85167-5208,App iOS
d0a03d9c-9652,App iOS
34682364-77,App Android
f6dc8c4b-4494,App iOS
d1e7fc92-3596,App Android
1450e619-8599,Mobile
fc38984a-8239,App iOS
7fd75fec-3987,Mobile
cc16eac7-8269,App iOS
fbe569eb-6366,Mobile
d4959d52-3361,Mobile
a3b8a491-3145,Desktop
77925318-2872,App iOS
f375eab7-2982,Desktop
7c6b8321-5164,App Android
ff9fbd72-9414,Desktop
41114e0f-2459,Mobile
31577bfd-4448,App Android
17f8a07c-3643,Mobile
12b09d9a-7247,App iOS
3c977ee0-2004,Desktop
184e935d-8487,App iOS
4f2899d4-4062,App iOS
d9fa976b-8160,Desktop
12bf525d-5731,App Android
c01f7bb2-2739,Other
41b7a42e-5756,Mobile
12a202f8-1404,App iOS
e360adbd-5218,Mobile
af8675db-4432,App Android
0900a458-5560,App iOS
31e7812b-418,Mobile
af8aedcf-7112,App iOS
644c10b1-2023,App Android
736010bb-9710,App Android
13b1271d-6803,Mobile
1af241fc-2133,Desktop
f2ffc1b6-7287,Mobile
0bb5aa47-142,Mobile
ec78942c-3144,App iOS
0005054a-1608,Desktop
6f50d389-2969,App iOS
86c49739-9668,App iOS
69d3dd97-5758,Mobile
8129f5d3-376,App iOS
daa4552b-3100,App iOS
426eaf9a-7824,App Android
3cd30190-2654,App iOS
9a3da273-3595,App iOS
fb6c4660-2256,App iOS
57da0e02-7021,Mobile
1bab3a39-1890,App iOS
95f1240e-5531,App Android
b10893f2-8586,App Android
2c43340c-614,App Android
3830f789-1453,App iOS
9de34295-3315,Mobile
b923c52f-1717,Mobile
05018659-3865,Desktop
d0a30ca1-838,App iOS
f11ebecb-5213,App iOS
8a1fcf0b-7583,App Android
32ea544c-9619,Mobile
8e88f08b-5468,Mobile
83316c24-8473,Desktop
afa2f011-5737,App iOS
d7cab2c5-7432,Mobile
a5b51f4c-1640,Mobile
267057e9-488,App Android
5e5627f1-6447,Desktop
b2c5c395-8996,App iOS
9534031d-3599,Desktop
7bbf6df3-9595,Mobile
6175c0ae-9643,App iOS
8293ff90-3430,Desktop
07c79237-8707,App Android
22166fdd-6055,Mobile
9c5b45a6-6289,App Android
202cc38d-984,App Android
aade07ba-2701,Mobile
d8d7bcf1-6287,App iOS
3125a8d3-6965,App iOS
e7e62dca-3336,App iOS
c9393a2b-6552,Mobile
1bd4c1c8-2376,Mobile
9f7afcdf-6760,Mobile
0d28a1a3-2204,Desktop
df244d36-4478,Mobile
aa509651-5716,App Android
2d26e32b-2030,Mobile
2e00091c-7195,App Android
ae31ac54-8308,Mobile
de791d70-4021,Mobile
dde0928c-803,Desktop
4ed4de51-6800,App iOS
7257c617-6106,Desktop
bca53099-9977,App iOS
5e751336-6986,Mobile
e5deb604-5616,App iOS
53103b56-729,App Android
9f85a252-7037,Mobile
3ccfa77f-1052,App Android
7a4914e5-1407,App iOS
168450bd-9884,Mobile
7eee2fd6-7290,Mobile
7d9eba30-1949,App iOS
6f4f3752-1542,App iOS
152637b9-2140,Mobile
d926b469-8934,App iOS
9c42df39-6605,App iOS
17c45ffb-2639,App Android
5de72a18-4449,Mobile
f20017e3-1492,App iOS
a3d589b0-5248,App iOS
8016d85c-92,Desktop
5be4e4d8-8431,App iOS
0f24d30c-4594,App Android
57c81a24-7957,App Android
df529faf-271,App Android
bbfefb62-2294,App Android
9d8e817f-1600,App Android
7d1c3e5c-4429,App iOS
0c84fa85-6953,App Android
fcf398a1-1554,Mobile
ec8680e8-4197,App iOS
075d38e2-8516,Mobile
ceb919e6-9286,App Android
ebcd983b-5066,Desktop
f329a6a3-8305,App iOS
36a2056a-9270,App Android
841db638-7873,Mobile
71b72c70-5014,App iOS
7f0ef947-8392,App Android
10664e92-6933,App iOS
f0a5b4fa-1930,App iOS
fd1da82e-993,App iOS
05e1c11f-8922,App iOS
4327c0a7-2119,Mobile
32d7bc7d-9331,App iOS
f21af2f6-6733,Mobile
21fa4414-9612,Mobile
bb2a0f14-2065,App iOS
7b3e65fe-5682,App iOS
605d873e-4184,App Android
5e2a861f-7540,Desktop
206f3228-1978,App iOS
969ca1d9-5830,App iOS
7150c60a-2497,App iOS
b9aef789-3557,App Android
d096c3d6-6035,Mobile
277b77b1-7757,App iOS
6d639d56-9097,App iOS
6b724d9a-7776,Mobile
d73c470f-6407,App iOS
42e44e74-3122,Desktop
36ebbec2-1321,Mobile
1b80bba6-151,App Android
2f39677e-5795,Mobile
fdc5172a-381,Desktop
a3bbf433-4054,App iOS
b7b4df98-7390,App iOS
9c12aab4-7225,App iOS
a2476bd8-6139,Mobile
40b6fd86-550,Mobile
074574bb-3417,App iOS
698e2fb3-4276,App Android
d89f5099-1891,Mobile
3d70ba88-9195,App iOS
75110687-1878,Mobile
06abf585-8420,App iOS
48d239d6-9198,App iOS
00184b8d-8192,App iOS
e30d6b42-360,App Android
cca802df-8492,Mobile
0a783691-1586,App iOS
b74d7ec3-6820,App iOS
d7443c6c-8531,App Android
8e95d620-4910,App Android
68665567-1198,App Android
e2c2e195-6060,Mobile
907c7d88-9687,Mobile
981e8ff0-7780,Desktop
b37d08e1-7166,App Android
199efe4b-9518,Mobile
8665b201-5554,App iOS
56b236ab-1130,Mobile
a1f43057-1920,Mobile
1e5a6865-8905,Mobile
5dee96d3-3651,Mobile
63b8cb5c-1130,Mobile
dcd21599-7355,Desktop
ac967447-4587,App Android
ff980bbf-3031,App iOS
68c0b5bb-6616,Mobile
6fe69bd0-2683,App iOS
5ae16aa5-8798,Desktop
874fe5aa-8475,App Android
00a9d903-8036,App iOS
f6dfaf7e-2149,Mobile
808e32b0-6159,Mobile
a785b9fb-3934,Desktop
0ea4aad5-2664,App Android
45449c47-1156,Mobile
f5641b17-5437,Desktop
c77f0928-7894,App iOS
6f2c6687-7800,App iOS
b6ea5272-3222,App iOS
cf4c337a-5178,App iOS
985c18a8-5757,Desktop
c64db87c-9533,App iOS
675863db-9588,App iOS
fa33cf86-4365,App iOS
c1373e01-3798,App iOS
1c383687-1769,App iOS
f9666901-6330,App Android
173e14bd-5875,Mobile
c1ec4c54-8662,Desktop
984c83da-1455,App Android
925f34ba-2659,Mobile
da034f3b-9210,App iOS
1cd988a5-6270,Mobile
1bb8ce9b-94,Desktop
09421109-9539,App Android
528399cf-5715,App iOS
7a9a5696-5363,App iOS
b0952df9-4943,Mobile
6a132167-5851,Mobile
1b76371c-6300,App Android
a8581e07-4241,App iOS
d57246c1-74,App Android
f28f268e-3427,Mobile
02dfae1d-7803,Mobile
5be4af77-9880,Mobile
07b6fa4b-2944,Mobile
dbad5f2e-8329,Desktop
80178961-3303,Mobile
b839838a-3342,Mobile
70fffd18-3180,Mobile
630a19c8-6153,Mobile
0024f73d-1512,App iOS
e48ce46f-6182,App Android
542152b6-3890,Mobile
0171de0a-1090,App Android
8bfd0af3-4133,App Android
642bb8d6-9913,App Android
14b72a93-8227,Mobile
fba1bfe1-2333,App Android
9ec967ab-8740,Mobile
6af2de8b-6144,Mobile
62c13571-7106,Mobile
5dbb3f13-9603,Mobile
0cf04e31-8974,App Android
b24c59f7-965,Desktop
476db9c7-4541,App Android
fbc256d0-8495,Mobile
465d9d4e-7175,App Android
019169e4-7480,Desktop
4458200f-2664,Desktop
a32794a7-967,App iOS
2a7ddce8-8923,Mobile
348c821f-7621,App iOS
2a020b8c-6398,App iOS
dbd09689-292,App iOS
a7b4d77a-488,App Android
b4758d31-6207,App iOS
532d9ea3-3001,Mobile
64a9c373-5484,App iOS
b5a12d58-4735,App iOS
0b949b61-4155,App iOS
86471315-8661,App iOS
d9f6f3a2-5994,App iOS
9103e8b9-6388,App iOS
8be768ff-6162,Mobile
40fd039f-7075,App Android
615397c1-4438,Mobile
4d6c859f-3082,Mobile
38f4d9b3-3757,Mobile
820feecd-9367,Desktop
e40e15a9-273,Desktop
3c747225-4064,App Android
22f91bc2-1210,App Android
92e0a37f-9172,Mobile
98d31cfb-2456,Mobile
16b0de0c-3122,Mobile
a2a09acc-623,App iOS
4f700475-2434,Desktop
e41fb5aa-8367,App iOS
90519567-8466,Mobile
a5033233-2283,App Android
7e358dcf-4240,Mobile
fe2655d5-6182,Mobile
94397923-2433,Desktop
eb3272a9-8278,Desktop
3763db9b-9257,Mobile
4153e8f9-6196,Mobile
8031ec12-2068,App Android
ecc77e12-368,App Android
7e9d8088-9396,App Android
1af91fbd-5020,App iOS
68517261-3462,App iOS
e1b3c4f0-5745,Mobile
02572dfc-9202,App iOS
0aad0339-2067,Mobile
177d6387-9449,App iOS
29e36391-7103,Desktop
c1961052-3678,App Android
c116bde7-6856,App iOS
d0346531-4390,App iOS
5651ee68-3666,App Android
aeb73f0b-7639,Mobile
b923dc54-2841,App iOS
b506a4ff-7753,Mobile
59634863-9353,App Android
4b99efa1-9509,Mobile
dd699884-8432,App Android
09720c13-2913,App iOS
8786492b-9998,Mobile
19890118-3091,Mobile
98fcc703-3069,App iOS
2053a006-5685,App Android
98740b93-5159,Mobile
a0a8af46-2994,Mobile
b738b812-3009,App iOS
07a570df-7139,Mobile
d427de75-984,App Android
204a8d1c-5626,Mobile
788041b9-9713,Mobile
45922064-9360,App iOS
02f6c45c-6965,App Android
65e951f2-6986,App iOS
25c0a1d4-816,Mobile
a2e1e1e4-6753,Mobile
b67bdbe5-2432,Desktop
2dacbdea-2577,App Android
4b484933-4774,Mobile
8b68fc8c-167,App iOS
ad0a43f2-1738,App Android
2bc1cf42-7390,Mobile
ea561430-5949,Mobile
0e904fe6-8097,App iOS
a729fe3c-1333,Desktop
532280ed-8069,Mobile
650ec86e-9327,Mobile
b1dc47cb-1933,App Android
a01e6d58-3448,App Android
ae5e87dc-252,Mobile
54c28204-2098,App Android
4e82d060-4987,App iOS
0554d686-5843,Desktop
396e3b7c-823,Mobile
292f2690-5116,App iOS
d4f8ae40-2206,Mobile
48964349-5228,Mobile
d4b5c31b-5506,App iOS
4640b2ed-2911,Desktop
3779153d-2777,Desktop
a401a90f-1521,Mobile
b8f13074-6366,App iOS
2b993a8e-5944,App iOS
966eb26b-3666,Mobile
8e0d6fe5-928,Desktop
b2aae193-4672,Mobile
99676065-4195,App iOS
9a4981d9-3242,Mobile
2103eef8-7581,App Android
77bf4310-6016,App iOS
83579b7f-6562,Mobile
32480aca-809,Mobile
fb96009e-6895,App iOS
4beca827-87,App iOS
d4044374-6769,App iOS
e20d4c6d-1464,Desktop
935667ea-8638,Mobile
cbf24f00-2959,Mobile
187c9d22-8034,App Android
b9b2df40-700,App iOS
1a2fd6bf-2589,Mobile
aaad7ff5-329,App iOS
09fa2f1e-3157,Mobile
d4be3205-2095,Mobile
cd2d8f6d-4212,App Android
44af6f15-2080,App Android
e783a7a5-3036,Desktop
ca9141a9-3059,Mobile
81fb6f66-9810,App Android
5ccfe570-9473,App iOS
cfbbd97d-1529,Mobile
b0bea6a0-9691,Mobile
b1413f58-4181,Mobile
59fbbd5b-4382,App Android
0fb93267-3369,Desktop
03382872-4414,App Android
8ad6c9e6-4828,Mobile
576f20b1-4008,Desktop
3ddc78dc-7838,App Android
9a150499-2021,App iOS
609f39b8-3651,App iOS
8f967509-5016,App Android
eec35e1d-9574,Other
d7331f29-9986,App Android
78631396-3875,App iOS
6760f19c-9600,App iOS
e8fef71f-6388,Desktop
2c8d9aaf-3898,Mobile
26575e49-4299,App Android
24a59509-3032,Mobile
d386e64d-4452,App Android
36c80dc6-5768,Mobile
0a874f1f-3123,Mobile
8692d0e9-1173,App iOS
a5e60291-271,Desktop
