session_id,date_event,date_timestamp_event
ad22f37f-3090,05/05/2022,05/05/2022 21:19:54
dec34cea-8172,05/05/2022,05/05/2022 11:12:54
532c96bd-5036,05/05/2022,05/05/2022 12:51:22
5c503911-6193,05/05/2022,05/05/2022 15:28:44
a36043e6-3259,05/05/2022,05/05/2022 11:28:08
d0944542-1230,05/05/2022,05/05/2022 12:20:00
fbe343ca-4075,05/05/2022,05/05/2022 15:18:57
efaee988-3573,05/05/2022,05/05/2022 17:46:20
cb214b4f-2320,05/05/2022,05/05/2022 10:06:06
09ea969c-4615,05/05/2022,05/05/2022 22:40:48
fca2239f-5308,05/05/2022,05/05/2022 15:31:46
3c80228e-1647,05/05/2022,05/05/2022 08:43:57
005245cb-1981,05/05/2022,05/05/2022 00:19:49
154dc281-2430,05/05/2022,05/05/2022 20:43:45
744b9a1f-5677,05/05/2022,05/05/2022 21:28:20
bead4b75-7164,05/05/2022,05/05/2022 10:02:54
f7bb6ae3-5638,05/05/2022,05/05/2022 12:56:08
442b7a8d-5625,05/05/2022,05/05/2022 22:06:10
c474803d-9881,05/05/2022,05/05/2022 02:06:01
3061dff6-4040,05/05/2022,05/05/2022 21:04:33
b6298387-72,05/05/2022,05/05/2022 18:24:23
402d7bb4-6631,05/05/2022,05/05/2022 16:44:31
61b60d9a-9959,05/05/2022,05/05/2022 10:44:35
217fac05-5234,05/05/2022,05/05/2022 21:52:31
3e2471a1-3393,05/05/2022,05/05/2022 05:26:43
661db4ac-9825,05/05/2022,05/05/2022 22:16:06
e5035d66-2452,05/05/2022,05/05/2022 16:59:00
65b27871-6553,05/05/2022,05/05/2022 11:09:49
5ddb0b5d-3937,05/05/2022,05/05/2022 17:59:08
4ac1e569-4580,05/05/2022,05/05/2022 08:15:54
b9eed126-2658,05/05/2022,05/05/2022 07:51:42
cf86d8ba-2841,05/05/2022,05/05/2022 10:38:10
ff14af7b-5432,05/05/2022,05/05/2022 18:40:17
9b63e86d-2675,05/05/2022,05/05/2022 23:31:40
7e133860-1404,05/05/2022,05/05/2022 19:38:35
0094785b-6119,05/05/2022,05/05/2022 13:08:04
68fe59b4-1851,05/05/2022,05/05/2022 01:40:22
